monitoring_period,feature,metric_type,csi,drift_level
2024Q3_sim_3,reverse_mortgage,numeric_csi,0.00016548210281485602,Low
2024Q3_sim_3,open_end_line_of_credit,numeric_csi,0.0001614330997872722,Low
2024Q4_sim_4,loan_amount,numeric_csi,16.54869831028495,High
2024Q4_sim_4,derived_loan_product_type,categorical_csi,0.4310233833790808,High
2024Q4_sim_4,lien_status,numeric_csi,0.3754433739225888,High
2024Q4_sim_4,loan_purpose,numeric_csi,0.1591792773525203,Moderate
2024Q4_sim_4,property_value,numeric_csi,0.15553069731642763,Moderate
2024Q4_sim_4,loan_to_value_ratio,numeric_csi,0.11457732850389674,Moderate
2024Q4_sim_4,loan_type,numeric_csi,0.10225120104951739,Moderate
2024Q4_sim_4,income,numeric_csi,0.05925390726150524,Low
2024Q4_sim_4,income_band,categorical_csi,0.0508749403902949,Low
2024Q4_sim_4,ltv_band,categorical_csi,0.037118332518713666,Low
2024Q4_sim_4,occupancy_type,numeric_csi,0.03239935667191659,Low
2024Q4_sim_4,debt_to_income_ratio,categorical_csi,0.013572114126532447,Low
2024Q4_sim_4,derived_race,categorical_csi,0.010612566021456736,Low
2024Q4_sim_4,derived_dwelling_category,categorical_csi,0.009460289352529395,Low
2024Q4_sim_4,construction_method,numeric_csi,0.00902348331024065,Low
2024Q4_sim_4,derived_sex,categorical_csi,0.004833813632289286,Low
2024Q4_sim_4,derived_ethnicity,categorical_csi,0.0031792523313699168,Low
2024Q4_sim_4,census_tract,numeric_csi,0.0021451121531968946,Low
2024Q4_sim_4,county_code,numeric_csi,0.0020363937198220397,Low
2024Q4_sim_4,manufactured_home_secured_property_type,numeric_csi,0.0019087539814401152,Low
2024Q4_sim_4,business_or_commercial_purpose,numeric_csi,0.0019021335119812372,Low
2024Q4_sim_4,total_units,numeric_csi,0.0013830394313560394,Low
2024Q4_sim_4,derived_msa_md,numeric_csi,0.0013668007919780147,Low
2024Q4_sim_4,open_end_line_of_credit,numeric_csi,0.0011226744422778653,Low
2024Q4_sim_4,reverse_mortgage,numeric_csi,0.001117127327149052,Low
2024Q1_sim_5,loan_amount,numeric_csi,22.639767806433397,High
2024Q1_sim_5,derived_loan_product_type,categorical_csi,1.4229945627405896,High
2024Q1_sim_5,lien_status,numeric_csi,1.3266758487802672,High
2024Q1_sim_5,property_value,numeric_csi,0.7961179888871318,High
2024Q1_sim_5,loan_purpose,numeric_csi,0.4924460433696304,High
2024Q1_sim_5,loan_to_value_ratio,numeric_csi,0.48358668024703255,High
2024Q1_sim_5,loan_type,numeric_csi,0.31171529367735173,High
2024Q1_sim_5,ltv_band,categorical_csi,0.244491884442474,Moderate
2024Q1_sim_5,income,numeric_csi,0.1967580094414174,Moderate
2024Q1_sim_5,income_band,categorical_csi,0.09681225263624886,Low
2024Q1_sim_5,debt_to_income_ratio,categorical_csi,0.06312647346397396,Low
2024Q1_sim_5,derived_dwelling_category,categorical_csi,0.03540802826065612,Low
2024Q1_sim_5,occupancy_type,numeric_csi,0.03527820640214729,Low
2024Q1_sim_5,construction_method,numeric_csi,0.035019370253993695,Low
2024Q1_sim_5,derived_race,categorical_csi,0.015427859801092424,Low
2024Q1_sim_5,county_code,numeric_csi,0.01011412572704396,Low
2024Q1_sim_5,derived_sex,categorical_csi,0.008688576006566305,Low
2024Q1_sim_5,manufactured_home_secured_property_type,numeric_csi,0.006809021430207801,Low
2024Q1_sim_5,business_or_commercial_purpose,numeric_csi,0.006759858399804854,Low
2024Q1_sim_5,census_tract,numeric_csi,0.005709343020491537,Low
2024Q1_sim_5,total_units,numeric_csi,0.005041577119459614,Low
