model_name,roc_auc,average_precision,accuracy,balanced_accuracy,precision,recall,f1,brier_score,log_loss,expected_calibration_error,interpretability_score,complexity_penalty,governance_rationale,training_status,governance_score,predictive_rank_by_auc,governance_rank,selected_role
Logistic Regression,0.887724,0.882492,0.832373,0.825169,0.840795,0.873584,0.856876,0.12375,0.398001,0.053504,1.0,0.0,High interpretability; strong baseline; easier validation and documentation.,trained,0.904426,5.0,1.0,champion_governance_selected
Calibrated Logistic Regression,0.888446,0.883337,0.834347,0.825402,0.835846,0.885515,0.859964,0.120257,0.391328,0.030541,0.95,0.01,Calibrated transparent model; strong governance candidate when probability quality matters.,trained,0.893991,4.0,2.0,candidate
Gradient Boosting,0.957832,0.960454,0.908987,0.897946,0.881573,0.972145,0.924646,0.069524,0.233989,0.015777,0.6,0.05,Strong nonlinear challenger; useful for accuracy comparison.,trained,0.871061,1.0,3.0,challenger_predictive_or_alternative
Random Forest,0.944959,0.946295,0.89408,0.882998,0.870946,0.957474,0.912163,0.085377,0.286064,0.058258,0.65,0.04,Nonlinear benchmark; stronger predictive capacity but lower transparency.,trained,0.869181,3.0,4.0,candidate
XGBoost,0.95125,0.95491,0.896853,0.887839,0.881092,0.948422,0.913518,0.078056,0.260975,0.033712,0.5,0.07,Advanced boosting challenger; high predictive capacity; higher validation burden.,trained,0.833252,2.0,5.0,candidate
