model_name,n_observations,observed_approval_rate,mean_predicted_probability,probability_min,probability_25pct,probability_median,probability_75pct,probability_max,brier_score,log_loss,auc,average_precision,expected_calibration_error,maximum_calibration_error,calibration_intercept,calibration_slope,ideal_brier_score_direction,ideal_ece_direction,ideal_intercept,ideal_slope
Champion Model,58001,0.5744038895881105,0.5377931951262532,0.00364132737335647,0.10027168470433913,0.6834716454196658,0.8538006787357949,0.999999,0.12497424751506428,0.4028592174785064,0.885357200814304,0.8782928378516521,0.05232854075653635,0.17693827269944412,0.28500832262789755,1.012900740009828,lower_is_better,lower_is_better,0.0,1.0
Challenger Model,58001,0.5744038895881105,0.5755439647190581,0.0004923056130782462,0.023832429192790775,0.7947809056660741,0.9335443637194346,0.999207117799517,0.06994877830159572,0.23543106270777175,0.9573227261890991,0.9601875967050102,0.015021608166363595,0.07016948157976988,-0.21544256873475326,1.2047218908466093,lower_is_better,lower_is_better,0.0,1.0
