attribute,group,reference_group,n,small_group_flag,actual_positives,actual_negatives,actual_approval_rate,predicted_approval_rate,approval_rate_difference,disparate_impact_ratio,true_positive_rate,equal_opportunity_difference,false_negative_rate,false_negative_rate_gap,false_positive_rate,false_positive_rate_gap,mean_predicted_probability,calibration_error,brier_score,tp,fp,tn,fn,adverse_impact_flag,large_fnr_gap_flag,large_fpr_gap_flag,large_equal_opportunity_gap_flag,large_calibration_error_flag,governance_attention_flag
ethnicity,Free Form Text Only,Joint,224,False,86,138,0.38392857142857145,0.49107142857142855,-0.18162370332957772,0.7300059198937306,0.8604651162790697,-0.07461410907304289,0.13953488372093023,0.0746141090730429,0.2608695652173913,0.012470988704935793,0.4202201116289142,0.03629154020034275,0.13889464774358065,74,36,102,12,True,False,False,False,False,True
ethnicity,Hispanic or Latino,Joint,36919,False,18785,18134,0.5088165984994176,0.5697066551098351,-0.10298847679117118,0.8469017064236359,0.9011445302102742,-0.033934695141838445,0.09885546978972584,0.033934695141838514,0.2263703540311018,-0.022028222481353693,0.503787365635115,0.00502923286430268,0.12349328922005968,16928,4105,14029,1857,False,False,False,False,False,False
ethnicity,Not Hispanic or Latino,Joint,190910,False,114482,76428,0.5996647635011262,0.6385260070190142,-0.034169124881992086,0.9492056308101536,0.9099334393179714,-0.025145786034141193,0.09006656068202862,0.02514578603414129,0.2319830428638719,-0.016415533648583613,0.5591022699769295,0.04056249352419672,0.11497193373257103,104171,17730,58698,10311,False,False,False,False,False,False
ethnicity,Joint,Joint,7354,False,4544,2810,0.6178950231166712,0.6726951319010063,0.0,1.0,0.9350792253521126,0.0,0.06492077464788733,0.0,0.2483985765124555,0.0,0.5795584131071638,0.03833661000950739,0.10691037238468384,4249,698,2112,295,False,False,False,False,False,False
sex,Sex Not Available,Joint,31220,False,16187,15033,0.5184817424727739,0.3771941063420884,-0.3079416816060748,0.5505391967214338,0.5735466732563168,-0.35974650793294627,0.4264533267436832,0.35974650793294627,0.16576864232022884,-0.06818323550983421,0.44316890324822394,0.07531283922454995,0.17852133501948098,9284,2492,12541,6903,True,True,False,True,False,True
sex,Male,Joint,103513,False,56215,47298,0.5430718846908118,0.5850666099910157,-0.10006917795714754,0.8539425618725398,0.8830739126567642,-0.05021926853249892,0.11692608734323579,0.05021926853249889,0.2308765698338196,-0.003075307996243448,0.5239536013091479,0.01911828338166388,0.12653158029072178,49642,10920,36378,6573,False,False,False,False,False,False
sex,Female,Joint,60049,False,32742,27307,0.5452547086545988,0.5946477043747607,-0.09048808357340254,0.867926788871451,0.8984484759635941,-0.03484470522566896,0.10155152403640584,0.034844705225668945,0.23038048851942725,-0.003571389310635803,0.5240338822877858,0.021220826366812995,0.12238048898078582,29417,6291,21016,3325,False,False,False,False,False,False
sex,Joint,Joint,95222,False,61433,33789,0.6451555312847871,0.6851357879481632,0.0,1.0,0.9332931811892631,0.0,0.0667068188107369,0.0,0.23395187783006305,0.0,0.5892860648034668,0.055869466481320296,0.10425889257238938,57335,7905,25884,4098,False,False,False,False,False,False
income_band,Missing/Unknown,Income > $150K,21099,False,12847,8252,0.6088914166548177,0.1004313000616143,-0.6007025766594486,0.14324126018741726,0.14252354635323422,-0.8111804079597005,0.8574764536467658,0.8111804079597006,0.0349006301502666,-0.2236366493033475,0.3282851949866514,0.28060622166816634,0.3165842625681907,1831,288,7964,11016,True,True,True,True,True,True
income_band,Income <= $50K,Income > $150K,19785,False,6385,13400,0.3227192317412181,0.33818549406115744,-0.3629483826599054,0.4823408271794293,0.6776820673453406,-0.2760218869675941,0.32231793265465936,0.2760218869675941,0.1764179104477612,-0.0821193690058529,0.3465605894659954,0.0238413577247773,0.15221577706777947,4327,2364,11036,2058,True,True,False,True,False,True
income_band,$50K < Income <= $100K,Income > $150K,65331,False,33208,32123,0.5083038679952856,0.581913639772849,-0.11922023694821382,0.8299608093310772,0.9292640327631896,-0.02443992154974517,0.0707359672368104,0.02443992154974515,0.222830993369237,-0.03570628608437709,0.5081045416154288,0.00019932637985675683,0.11163575090303506,30859,7158,24965,2349,False,False,False,False,False,False
income_band,$100K < Income <= $150K,Income > $150K,67727,False,40243,27484,0.5941943390376069,0.6656724792180371,-0.03546139750302579,0.9494227868879118,0.948935218547325,-0.004768735765609766,0.051064781452675,0.004768735765609745,0.25090962014262846,-0.007627659310985635,0.5701200121727711,0.024074326864835793,0.1065988281281797,38188,6896,20588,2055,False,False,False,False,False,False
income_band,Income > $150K,Income > $150K,116062,False,73894,42168,0.6366769485275111,0.7011338767210629,0.0,1.0,0.9537039543129348,0.0,0.04629604568706525,0.0,0.2585372794536141,0.0,0.603658080057447,0.03301886847006408,0.10118360205046668,70473,10902,31266,3421,False,False,False,False,False,False
