monitoring_period,period_role,n_records,model_source,used_existing_model_artifact,event_rate,score_mean,approval_rate,approval_rate_change_vs_baseline,auc,auc_change_vs_baseline,accuracy,balanced_accuracy,precision,recall,f1,brier,brier_change_vs_baseline,ece,ece_change_vs_baseline,false_positive_rate,false_negative_rate,prediction_psi,prediction_drift_level,csi_mean,csi_max,csi_max_feature,data_drift_level,fairness_group_columns_tested,fairness_worst_group_column,fairness_max_approval_gap,fairness_max_approval_gap_change_vs_baseline,fairness_max_fnr_gap,fairness_max_fpr_gap,monitoring_status,breach_reasons
2024Q1_sim_1,Baseline train period,36251,models\champion_model.pkl,True,0.4366224380017103,0.44553098614805575,0.5259441118865686,-0.038965337638265485,0.8446459943585634,-0.012334585623011263,0.793053984717663,0.8011815765005811,0.7183467953424945,0.8653019964619661,0.7850060182266292,0.14325860522220438,0.0026961156060242852,0.04814666269774877,-0.004423688239578123,0.262938843460804,0.13469800353803385,0.19444439172009387,Moderate,0.6771321307752435,15.428983797263463,loan_amount,High,derived_race; derived_ethnicity; derived_sex; income_band,income_band,0.47678339070181847,-0.09957811956647894,0.3190682025633482,0.32330589489130845,Green,None
2024Q2_sim_2,Baseline train period,36250,models\champion_model.pkl,True,0.49081379310344825,0.47159894047197826,0.5625103448275862,-0.0023991046972479113,0.8533737482397331,-0.0036068317418415097,0.8116689655172413,0.8129230572363,0.7688686185081653,0.8811825539568345,0.8212031532357332,0.1383171035309549,-0.002245386085225204,0.05771994164724499,0.005149590709918099,0.25533643948423446,0.11881744604316546,0.1041959069171624,Moderate,0.709402196655774,16.773603186770174,loan_amount,High,derived_race; derived_ethnicity; derived_sex; income_band,income_band,0.5023576484147411,-0.07400386185355634,0.5987707261292167,0.35749994518385336,Green,None
2024Q3_sim_3,Baseline train period,36251,models\champion_model.pkl,True,0.5523709690767151,0.5117074541536569,0.5762047943505006,0.01129534482566652,0.8476709288596089,-0.00930965112196569,0.792943642933988,0.7881227634991088,0.7996457296055152,0.8341490211745904,0.8165330465389128,0.1469704575784607,0.006407967962280603,0.06193845388538823,0.009368102948061341,0.2579034941763727,0.1658509788254095,0.02783076068381031,Low,0.5416617253056838,13.065801733525578,loan_amount,High,derived_race; derived_ethnicity; derived_sex; income_band,income_band,0.5836766601460024,0.007315149877704985,0.7850446223806467,0.3233028514797964,Green,None
2024Q4_sim_4,Baseline train period,36250,models\champion_model.pkl,True,0.5846620689655172,0.5383029437390441,0.5949793103448275,0.03006986081999341,0.8682352907736505,0.01125471079207585,0.8190896551724138,0.8119512136603135,0.8392989614243324,0.8541096536755686,0.8466395397783079,0.13370354098596743,-0.006858948630212663,0.05814644932217507,0.005576098384848176,0.23020722635494156,0.14589034632443143,0.27614827519593416,High,0.7252005465114013,16.54869831028495,loan_amount,High,derived_race; derived_ethnicity; derived_sex; income_band,income_band,0.6230221337372601,0.046660623468962714,0.8451858135342695,0.2887444784233775,Green,None
2024Q1_sim_5,Monitoring period,36250,models\champion_model.pkl,True,0.6212965517241379,0.5699842948233377,0.6220137931034483,0.05710434357861416,0.8883469632334632,0.03136638325188856,0.8445793103448276,0.8346757464703252,0.8744899769380876,0.8754995115886689,0.8749944530729976,0.11903681412854489,-0.021525675487635204,0.06051204436228306,0.007941693424956167,0.20614801864801865,0.12450048841133114,0.9129911426940365,High,1.1300565466245671,22.639767806433397,loan_amount,High,derived_race; derived_ethnicity; derived_sex; income_band,income_band,0.6656976638878904,0.08933615361959302,0.9005494102641988,0.2583390384176532,Red,High prediction PSI; High characteristic drift; High fairness approval-rate gap; Fairness drift versus baseline
2024Q2_sim_6,Monitoring period,36251,models\champion_model.pkl,True,0.6335273509696284,0.5756083377741847,0.6299136575542744,0.06500420802944029,0.8959323220714978,0.038951742089923136,0.8586797605583294,0.8488662233785664,0.890694109918984,0.8856135156318036,0.888146547018624,0.11143564809291376,-0.029126841523266334,0.068114169803614,0.015543818866287105,0.18788106887467068,0.11438648436819647,1.1304768148022817,High,1.257058846686602,22.639793198931645,loan_amount,High,derived_race; derived_ethnicity; derived_sex; income_band,income_band,0.6632963979517594,0.08693488768346203,0.8994446705443939,0.19988236514712748,Red,High prediction PSI; High characteristic drift; High fairness approval-rate gap; Fairness drift versus baseline
2024Q3_sim_7,Monitoring period,36250,models\champion_model.pkl,True,0.6329103448275862,0.5676798598695628,0.6174068965517241,0.052497447026889965,0.9075814940670923,0.0506009140855177,0.8632275862068965,0.8572628234054329,0.9017916983155355,0.8797018698513708,0.8906098314358839,0.10693740592554507,-0.03362508369063502,0.07762294839958722,0.02505259746226033,0.165176223040505,0.12029813014862921,1.2385321428675888,High,1.4001965572123296,22.639767806433397,loan_amount,High,derived_race; derived_ethnicity; derived_sex; income_band,income_band,0.6434287174133758,0.06706720714507841,0.893040660476247,0.19028286617668758,Red,High prediction PSI; High characteristic drift; Moderate calibration drift; High fairness approval-rate gap; Fairness drift versus baseline
2024Q4_sim_8,Monitoring period,36251,models\champion_model.pkl,True,0.6429615734738352,0.5894061255834626,0.6303274392430553,0.06541798971822121,0.9098013393493174,0.052820759367742776,0.8682519102921299,0.860456320402399,0.9055142231947484,0.8877209541788227,0.8965293123618874,0.10087383796752952,-0.03968865164865057,0.06984850260770284,0.017278151670375948,0.16680831337402457,0.11227904582117727,1.5341435905396619,High,1.6649987933823565,22.639793198931645,loan_amount,High,derived_race; derived_ethnicity; derived_sex; income_band,income_band,0.5583094678938458,-0.01805204237445157,0.7448035666557138,0.14740183394128945,Red,High prediction PSI; High characteristic drift; High fairness approval-rate gap
